PC - Name,Description
SCENE_45,Hotel Mary reading her letter to Laura
SCENE_53,"Hotel final long hallway ""Mary… I brought you some flowers"""
silen,Hospital siren transition
splay_at_48,??
suiteki,Hotel water dripping
surprise_01,Thud 01
surprise_02,Walking heavily down hallway
surprise_03,Thud 02
surprise_07,??
tejyou,Labyrnith rotating handcuff wheel
tobira_mado_1,Apt opening fire escape door
tobira_mado_2,Apt transitioning through fire escape door first time
tobira_mado_3,Apt transitioning through fire escape door all other times
toile_nok,Prison knocking on bathroom door
tsuri_1,James fishing hospital elevator keys from shower drain hole
tv_noiz_1,Apt TV static
UFO_1,UFO encounter 01
UFO_2,UFO encounter 02
UFO_END,UFO ending
WATER_MARY,Ending Mary's letter (In water) 02
what_amy,"BFaW ""Do you know a little girl named Amy?"""
what_amy_ato,"BFaW ""You think miracles really can happen?"""
yarinaoshi,"Maria before final boss fight ""Maria? It's you. But I don't NEED you anymore."""
yarinaoshi_2_2,Mary and James talking with Mary on deathbed 02
yarinaoshi_letter,Mary's final letter 03
YARINAOSHI_LETTER_MIX,Mary's final letter 04
